Direction,Number,Active,Total_stands,Ticket,Latitude,Longitude
"Colón, 60",16.0,1.0,20.0,1.0,39.470092316192336,-0.3704333693720587
Plaza de Tetuán,9.0,1.0,25.0,1.0,39.47435533016869,-0.3699303648826442
Micer Mascó - Rodriguez Fornos,81.0,1.0,20.0,0.0,39.47512832851177,-0.3609783335465967
General Elio - Llano del Real,83.0,1.0,25.0,1.0,39.47758533929587,-0.3669703519914759
Blasco Ibañez - Mestre Ripoll,100.0,1.0,20.0,0.0,39.471634305646866,-0.3381502585344567
Fernando el Católico - Erudito Orellana,23.0,1.0,19.0,1.0,39.471628328748515,-0.3861784216967592
Peris y Valero - Cabo Jubi,38.0,1.0,15.0,0.0,39.45940204927687,-0.3702493773693626
Autopista del Saler - Antonio Ferrandis (C.C. El Saler),50.0,1.0,40.0,1.0,39.453318252515686,-0.3528593228128155
Luis García Berlanga Martí - Menorca,52.0,1.0,25.0,1.0,39.45603425797373,-0.3463402980947426
Baleares - Lebón,60.0,1.0,19.0,0.0,39.46223128102797,-0.3517763125261459
Regne de Valencia - Almirante Cadarso,35.0,1.0,20.0,1.0,39.46374929341137,-0.3669943634005945
Molinell - Calderón de la Barca,77.0,1.0,20.0,1.0,39.48497336307338,-0.3656673419583549
Blasco Ibañez - Aragón,92.0,1.0,20.0,1.0,39.47586032883543,-0.355968315835597
Autopista del Saler - Puente Monteolivete,47.0,1.0,20.0,1.0,39.45651226440267,-0.3554183288036281
"Blasco Ibañez, 32 (F. Filología)",90.0,1.0,40.0,0.0,39.47673433298103,-0.3589673254467337
Alameda - Pintor Monleón,57.0,1.0,20.0,1.0,39.46447629179199,-0.3582563324315247
Juan Llorens - Quart,19.0,1.0,15.0,0.0,39.47436934054566,-0.391590438798602
Salamanca - Conde Altea,31.0,1.0,19.0,0.0,39.467365304622646,-0.3650283531086902
General Urrutia - Av. de la Plata,44.0,1.0,19.0,1.0,39.45642926768604,-0.3630143545257616
Plaza del Musico López Chavarri,3.0,1.0,20.0,1.0,39.4768353435743,-0.3802883976424855
Baleares - Río Escalona,59.0,1.0,15.0,1.0,39.463088285667624,-0.3545493213542055
Vicent Vidal - Pintor Maella,61.0,1.0,20.0,1.0,39.46129327599964,-0.3478302988674309
Colón 20-22,18.0,1.0,24.0,1.0,39.468191311513856,-0.3731293798737345
Campoamor - Músico Ginés,76.0,1.0,19.0,1.0,39.47008330347364,-0.343461277578989
Fernando el Católico - Cuenca,24.0,1.0,20.0,1.0,39.469077319212495,-0.3840274173384119
Av Puerto 19 (Telefónica),63.0,1.0,20.0,1.0,39.46777930285978,-0.358414330727018
Av. Puerto - Doctor Manuel Candela,65.0,1.0,19.0,1.0,39.465516292011046,-0.3508373061951808
Juan Verdeguer - Toneleros,67.0,1.0,14.0,0.0,39.45886026320377,-0.3367982630402228
Salvador Giner - C. Museo,2.0,1.0,15.0,0.0,39.479889353348874,-0.3797483936090024
Plaza de la Virgen - Bailía,4.0,1.0,25.0,1.0,39.476747340831494,-0.375342380894589
Plaza de la Reina - Mar,8.0,0.0,9.0,1.0,39.47432033281947,-0.3750843825510484
Hermanos Maristas - General Urrutia,45.0,1.0,15.0,0.0,39.45381925759081,-0.3618553529234309
Plaza San Felipe Neri (Mercado Algirós),74.0,1.0,20.0,1.0,39.469949307546806,-0.3537343124957471
Blasco Ibañez - Doctor Gómez Ferrer (Clínico),87.0,1.0,33.0,1.0,39.47851834019109,-0.3618803335785998
Regne de Valencia - Doctor Sumsi,34.0,1.0,17.0,0.0,39.46412229654908,-0.3699613729909211
"Barcas, 11",40.0,1.0,26.0,1.0,39.47046631970195,-0.3748243837183276
Economista Gay - Luis Crumiere,137.0,1.0,20.0,1.0,39.48903338344832,-0.3798963873712934
Ramón Llull - Serpis,102.0,1.0,20.0,0.0,39.47583332394092,-0.346720283882565
Bombero Ramón Duart - Hermanos Maristas,184.0,1.0,15.0,0.0,39.45278225629358,-0.3655703663645521
Manuel Broseta i Pont - Naranjos,112.0,1.0,40.0,1.0,39.47858033137406,-0.3422752670199095
Aularios Universidad de Valencia,105.0,1.0,30.0,0.0,39.47835119969391,-0.3443952655704271
Alfahuir - Duque de Mandas,127.0,1.0,20.0,0.0,39.49059138177909,-0.3644463333304693
Benifairó de Valldigna - Joaquín Benlloch,186.0,1.0,14.0,0.0,39.45039125246078,-0.3740153970137416
Plaza Badajoz,145.0,1.0,15.0,0.0,39.48154736759815,-0.398395456094638
UPV Galileo,111.0,1.0,30.0,0.0,39.48066419504159,-0.3395082613341325
Cataluña - Doctor Vicente Zaragozá,115.0,1.0,16.0,0.0,39.481562345598135,-0.3521482985209469
Gascó Oliag - Primado Reig,117.0,1.0,30.0,1.0,39.47925133992885,-0.357065317141581
Llano de la Zaidía - Doctor Olóriz,153.0,1.0,24.0,1.0,39.48305822805289,-0.3805912745331588
Jaime Roig - Bachiller,119.0,1.0,20.0,0.0,39.48252035422283,-0.3632263347367644
Pío XII - Monestir de Poblet,173.0,1.0,20.0,0.0,39.484541375368174,-0.394678441209281
José María de Haro - Justo y Pastor,160.0,1.0,20.0,0.0,39.467336291769534,-0.3389812647099949
Reus - Alquería de la Estrella,139.0,1.0,15.0,0.0,39.48570637409792,-0.3828733999571918
Jerónimo Monsoriu - Alcalde Cano Coloma,151.0,1.0,20.0,0.0,39.464669282422186,-0.3371172603142122
Francisco Cubells - San José de la Vega,159.0,1.0,17.0,0.0,39.46344927686635,-0.3347222532485526
Doctor Vicente Zaragozá - Emilio Baró,120.0,1.0,18.0,1.0,39.484880361257815,-0.3620463290628108
Alfahuir - Peñiscola,128.0,1.0,25.0,1.0,39.48876637693274,-0.367544345093534
Convento Carmelitas - Alboraya,130.0,1.0,15.0,0.0,39.483238360081586,-0.370210358642677
Giorgeta - Roig de Corella,195.0,1.0,16.0,0.0,39.459384287208486,-0.3842814248129742
Fontanars dels Aforins - Jacinto Labaila,197.0,1.0,15.0,0.0,39.458184286737165,-0.3923334543644733
Mediterráneo - Plaza Cruz de Cañamelar,161.0,1.0,15.0,1.0,39.46796929073871,-0.3317262387298495
Paseo Neptuno 32-34,163.0,1.0,20.0,1.0,39.46443727525528,-0.3234012136184579
Pavía - Acequia de la Cadena,167.0,1.0,20.0,0.0,39.474908310742784,-0.3246102088459378
Ausias March - Av. de la Plata,183.0,1.0,18.0,1.0,39.45262025913349,-0.3722843899417025
Ángel Villena - Ausias March,187.0,1.0,15.0,1.0,39.447960241518516,-0.3688183809361798
Hospital Nueva Fe (administración),189.0,1.0,30.0,1.0,39.44477922701873,-0.3770653241578762
Don Vicente Guillot - Progreso,166.0,1.0,15.0,0.0,39.47334930757559,-0.3288112249578787
Malvarrosa - Río Tajo,168.0,1.0,15.0,0.0,39.47687131828106,-0.3278872186994104
Monduber - Peset Aleixandre,174.0,1.0,19.0,1.0,39.489438388167024,-0.3866474095764486
Av. del Cid - Julián Peña,200.0,1.0,15.0,0.0,39.46773731904592,-0.3932144497376184
Cra. Malilla - Bulevar Sur,190.0,1.0,18.0,1.0,39.44608224133691,-0.3802964227165475
Jerónimo Muñoz - Gaspar Aguilar,196.0,1.0,15.0,1.0,39.45957528956863,-0.3880664379854734
Fontanars dels Aforins - Vall d'Uixó,198.0,1.0,20.0,1.0,39.46088029740053,-0.395316462028443
San Clemente - Hospital Arnau de Vilanova,227.0,1.0,20.0,1.0,39.49024839844318,-0.4029314642268136
Carteros - Mossen Febrer,208.0,1.0,20.0,0.0,39.45169226376965,-0.3885784461793106
Conde Torrefiel - Cecilio Plá,235.0,1.0,15.0,1.0,39.49804541205544,-0.3772033703255944
Rio Segre - Rafael Company,236.0,1.0,15.0,1.0,39.49506640496422,-0.3822783900158384
Corts Valencianes - General Avilés,204.0,1.0,20.0,1.0,39.485843380594176,-0.3965874461307865
Pechina - Teruel,202.0,1.0,20.0,1.0,39.47622234753723,-0.3933344430441705
Campos Crespo - Juan de Garay,210.0,1.0,15.0,1.0,39.45555328036534,-0.3967164703720698
Fray Juanípero Serra - Torrente,212.0,1.0,15.0,1.0,39.46148430130945,-0.4003964782374619
Salvador Ferrandis Luna - Juan Bautista Vives,218.0,1.0,15.0,1.0,39.47074033078547,-0.3973844614710405
Pintor Stolz - Nueve de Octubre,217.0,1.0,25.0,1.0,39.47032833321364,-0.4045964865286562
Valle de la Ballestera - Hospital Nueve de Octubre,223.0,1.0,20.0,1.0,39.47855835893999,-0.4011874677803583
Corts Valencianes - La Safor,226.0,1.0,30.0,0.0,39.49086439918327,-0.3988594505654264
Tres Cruces - Pio XI,250.0,1.0,15.0,0.0,39.456352245577065,-0.4008070181198941
Nicasio Benlloch - Amics dels Corpus,205.0,1.0,24.0,1.0,39.48928739053543,-0.3930904323547156
Vicente la Roda - Ingeniero Fausto Elio,272.0,1.0,15.0,0.0,39.48062333339468,-0.3321902311538516
Músico Ayllón - Francisco Dolz,215.0,1.0,15.0,1.0,39.46567131414367,-0.3967484625488285
Plaza Músico Espí,234.0,1.0,15.0,0.0,39.49649940567526,-0.3736443597891149
Padre Esteban Pernet - Casa Misericordia,263.0,1.0,18.0,0.0,39.467043324648515,-0.4096445056541294
Albacete - Maluquer,243.0,1.0,18.0,1.0,39.46282029901061,-0.3845424236611566
Traginers - Pedrapiquers,260.0,1.0,20.0,0.0,39.45955629873093,-0.4072175039832668
La Safor - Maestro Rodrigo,242.0,1.0,15.0,0.0,39.48790739141051,-0.4041974712326189
Xátiva - Bailén (Estación del Norte),17.0,1.0,30.0,1.0,39.46746831099193,-0.3772593951806123
Hospital - Horno del Hospital,10.0,1.0,15.0,1.0,39.470816323984536,-0.3826104109763401
Alfonso el Magnánimo - Nave,13.0,1.0,24.0,1.0,39.4720623227334,-0.3708743696408533
Aragón - Vicente Sancho Tello,78.0,1.0,20.0,1.0,39.46994531050937,-0.358688329939162
Conde Altea - Almirante Cadarso,32.0,1.0,20.0,1.0,39.46600630156446,-0.3682473649948816
Plaza de los Fueros - Conde Trenor,36.0,1.0,25.0,0.0,39.479072348860946,-0.3754363798581042
Plaza de Europa,54.0,1.0,20.0,1.0,39.459778273617445,-0.3526903171951741
Huesca - Barón de Cárcer,14.0,1.0,20.0,1.0,39.46896731649349,-0.3797244022229544
Germanías - Ruzafa,33.0,1.0,20.0,1.0,39.46481830023885,-0.3739903856231028
Av. Puerto - Plaza Tribunal de les Aigües,71.0,1.0,20.0,1.0,39.46038026686525,-0.3335312512230816
República Argentina - Campoamor,75.0,1.0,25.0,1.0,39.472113313853896,-0.3517013042029511
Naranjos (Magisterio),95.0,1.0,33.0,0.0,39.47983533734356,-0.3461192793966847
Peris y Valero - Luis Santángel,37.0,1.0,20.0,1.0,39.460937800028375,-0.3664406250017559
"Blasco Ibañez, 28 (F. Geografía e Historia)",88.0,1.0,40.0,1.0,39.47751233609685,-0.3611423324837735
Ribera - Plaza Ayuntamiento,15.0,1.0,34.0,1.0,39.46908831533384,-0.3756373880434071
Navarro Reverter - Grabador Esteve,28.0,1.0,29.0,0.0,39.47158231958138,-0.3677513588006829
Antonio Ferrandis - General Urrutia,48.0,1.0,20.0,0.0,39.450807354184086,-0.3585527382322896
Angel Guimerá - Juan Llorens,22.0,1.0,15.0,0.0,39.46978732404922,-0.3883534313205414
Av. Puerto 61-63,64.0,1.0,20.0,0.0,39.46651829706714,-0.3541953172495928
Av. Puerto - José Aguilar,68.0,1.0,20.0,1.0,39.46280327868023,-0.3417332778594022
"Colón, 44",70.0,1.0,17.0,0.0,39.469213221319464,-0.3716462894107889
C/GUILLEM DE CASTRO esquina con C/NA JORDANA,1.0,1.0,25.0,1.0,39.48004223020643,-0.3829292797331582
Guillem de Castro - San Pedro Pascual,6.0,1.0,15.0,1.0,39.472798331478145,-0.3840834139387113
Plaza del Mercado - Taula de Canvis,7.0,1.0,19.0,1.0,39.47487233593648,-0.3791853952972924
General Urrutia - Granada,41.0,1.0,20.0,0.0,39.458912276426375,-0.3647763590897919
Amadeo de Saboya (frente Ayuntamiento),80.0,1.0,25.0,0.0,39.47374232444908,-0.3622983394473602
Guillem de Castro (Torres de Quart),82.0,1.0,15.0,0.0,39.47605634238628,-0.3839144104057024
Blasco Ibañez - Jaime Roig,85.0,1.0,23.0,0.0,39.479464345022826,-0.3647153422684407
"Blasco Ibañez, 23 (F. Filosofía y Psicología)",89.0,1.0,30.0,0.0,39.47780233689744,-0.3593183259089267
Grabador Jordan - Escultor Pastor,91.0,1.0,15.0,0.0,39.44412522887422,-0.3675733796970313
Menorca - Baleares,62.0,1.0,20.0,1.0,39.45981126842254,-0.3421522812931475
Blasco Ibañez - Clariano,94.0,1.0,20.0,0.0,39.47537832465668,-0.3515833014492605
Blasco Ibañez - Pintor José Mongrell,99.0,1.0,21.0,1.0,39.47134430635022,-0.3404842660990001
"CALLE SANTA AMALIA  2, esquina POETA BODRIA",131.0,1.0,20.0,1.0,39.48141722170027,-0.3729122732215235
Armada Española - Mariano Cuber,162.0,1.0,19.0,0.0,39.46360427573933,-0.3297952360224295
Albalat dels Tarongers - Paseo Facultades,104.0,1.0,20.0,1.0,39.478386332978474,-0.3472752845405608
Luís Peixó 20,108.0,1.0,15.0,1.0,39.47382619077011,-0.3339152679031098
Platero Suárez - Milagrosa,132.0,1.0,15.0,0.0,39.48528636793778,-0.3734343681182198
Campillo de Altobuey (Polideportivo),107.0,1.0,15.0,0.0,39.47524531713643,-0.3362242490922528
Almazora - Benimuslem,129.0,1.0,20.0,1.0,39.48597536908952,-0.3699453557741905
Marqués de San Juan - Diputat Lluís Lucía,144.0,1.0,15.0,0.0,39.4787793569025,-0.3954804480408008
Av. Campanar (La Fe),146.0,1.0,26.0,1.0,39.48511037548845,-0.3909524281114989
Pie de la Cruz - Rejas,147.0,1.0,15.0,0.0,39.47320133107913,-0.3802074001545322
Manuel Candela - Rodriguez de Cepeda,150.0,1.0,25.0,0.0,39.46772129856667,-0.350609303645443
Pescadores - Progreso,154.0,1.0,15.0,0.0,39.46987629622899,-0.3295542305651281
Salamanca - Reina Doña Germana,155.0,1.0,20.0,0.0,39.46495329574819,-0.3630783484267159
